"id" "host_is_superhost" "host_identity_verified" "room_type" "accommodates" "bathrooms" "bedrooms" "price"
241016 "True" "True" "Entire home/apt" 5 1 3 215
241032 "True" "True" "Entire home/apt" 4 1 1 165
278830 "False" "False" "Entire home/apt" 6 2 3 299
704764 "True" "True" "Entire home/apt" 5 1 2 145
757840 "True" "True" "Entire home/apt" 10 2.5 4 300
1110749 "False" "True" "Entire home/apt" 6 1.5 3 325
1112092 "True" "True" "Entire home/apt" 3 1 1 135
1820794 "True" "True" "Entire home/apt" 2 1 0 130
1909058 "True" "True" "Private room" 2 1 1 90
2481189 "True" "True" "Entire home/apt" 6 2 3 250
2481869 "True" "True" "Entire home/apt" 4 1 1 199
2586642 "False" "False" "Entire home/apt" 4 1 2 135
2692126 "True" "True" "Entire home/apt" 2 1 1 95
2923529 "True" "True" "Entire home/apt" 4 1 1 100
2998728 "True" "False" "Entire home/apt" 8 2 4 300
3269390 "True" "False" "Entire home/apt" 2 1 0 130
3308979 "False" "False" "Entire home/apt" 10 3.5 4 900
3382533 "True" "True" "Entire home/apt" 4 1 1 199
3401644 "False" "True" "Entire home/apt" 4 1 1 100
3720511 "False" "True" "Entire home/apt" 6 3 3 325
3883392 "True" "True" "Entire home/apt" 2 1 2 185
3890990 "False" "True" "Entire home/apt" 7 1 2 175
3997861 "False" "True" "Entire home/apt" 2 1 1 175
4077415 "False" "False" "Entire home/apt" 3 1 1 69
4218733 "True" "True" "Entire home/apt" 4 1 1 200
4555997 "True" "True" "Entire home/apt" 4 1 0 110
4718369 "False" "True" "Entire home/apt" 6 1 2 54
4933447 "True" "True" "Entire home/apt" 2 1 1 99
5052459 "True" "True" "Entire home/apt" 2 2 1 158
5058086 "True" "True" "Entire home/apt" 2 1 1 195
5143477 "False" "True" "Shared room" 2 1 1 500
5383192 "False" "True" "Entire home/apt" 4 1 2 79
5405643 "False" "True" "Entire home/apt" 6 1 3 99
5680462 "True" "True" "Entire home/apt" 16 3.5 6 386
5686435 "False" "False" "Entire home/apt" 8 2.5 3 445
5978498 "False" "True" "Entire home/apt" 4 3 3 175
6115807 "False" "False" "Entire home/apt" 8 2 3 350
6134153 "False" "False" "Entire home/apt" 4 1 2 200
6315614 "False" "True" "Entire home/apt" 4 1 1 109
6362362 "False" "True" "Entire home/apt" 5 2.5 3 400
6389657 "False" "True" "Entire home/apt" 2 1 0 147
6400000 "False" "False" "Entire home/apt" 3 1 1 160
6400379 "True" "True" "Private room" 2 1 1 74
6575380 "False" "True" "Entire home/apt" 3 1 1 125
6780615 "True" "True" "Entire home/apt" 4 1 1 199
7035240 "False" "False" "Entire home/apt" 8 1.5 3 300
7091397 "True" "False" "Entire home/apt" 3 1 1 150
7227464 "True" "True" "Entire home/apt" 3 1 1 149
7308567 "False" "True" "Entire home/apt" 3 1.5 1 200
7404370 "False" "True" "Entire home/apt" 2 1 1 99
7492877 "False" "True" "Entire home/apt" 4 1 2 180
7513198 "False" "True" "Entire home/apt" 3 2 2 250
7637066 "False" "True" "Private room" 2 2 1 125
7735464 "False" "True" "Private room" 2 2 1 200
7772661 "True" "True" "Entire home/apt" 2 1 1 98
7839535 "True" "True" "Private room" 2 1 1 74
8088447 "False" "True" "Entire home/apt" 3 1 1 115
8515408 "True" "True" "Entire home/apt" 2 1 0 81
8570726 "True" "True" "Entire home/apt" 10 3.5 5 550
8686344 "True" "False" "Private room" 4 1 1 100
8755479 "False" "True" "Entire home/apt" 4 2 2 295
8942678 "False" "True" "Entire home/apt" 8 2 4 450
9025039 "False" "True" "Entire home/apt" 5 1 2 150
9136499 "False" "True" "Private room" 1 1 1 100
9167786 "True" "True" "Private room" 2 1 1 59
9368342 "True" "True" "Entire home/apt" 2 1.5 1 120
9465166 "True" "True" "Entire home/apt" 4 1 2 145
9550869 "False" "True" "Entire home/apt" 10 3 3 399
9694921 "True" "False" "Entire home/apt" 6 2 3 129
10949926 "True" "True" "Entire home/apt" 6 1 2 99
11303784 "False" "True" "Private room" 2 1 1 190
11535056 "False" "True" "Entire home/apt" 4 3.5 4 140
11601374 "True" "True" "Entire home/apt" 2 1 1 140
11687866 "False" "False" "Private room" 2 1 1 89
11743748 "True" "True" "Entire home/apt" 4 1 0 85
12019464 "False" "True" "Entire home/apt" 2 1 0 85
12042411 "True" "True" "Entire home/apt" 8 2 4 350
12170734 "True" "True" "Entire home/apt" 9 1 4 300
12537842 "False" "False" "Entire home/apt" 8 3.5 4 425
13081598 "True" "True" "Entire home/apt" 4 1 1 117
13098840 "True" "True" "Entire home/apt" 8 1 3 250
13127819 "False" "True" "Entire home/apt" 2 1 0 72
13247100 "True" "False" "Entire home/apt" 7 1.5 3 375
13300950 "False" "False" "Entire home/apt" 8 2 3 520
13437692 "True" "True" "Private room" 2 1 1 84
13496747 "True" "False" "Entire home/apt" 3 1 1 119
13532046 "True" "True" "Entire home/apt" 6 2 3 154
14166842 "True" "False" "Private room" 2 1 1 67
14179816 "False" "True" "Private room" 2 1 1 83
14186845 "True" "True" "Entire home/apt" 2 1 0 98
14360019 "False" "True" "Entire home/apt" 2 1 1 125
14406684 "False" "True" "Private room" 2 1 1 50
14522498 "True" "True" "Entire home/apt" 4 1 1 83
14577606 "False" "False" "Entire home/apt" 2 1 1 80
14634063 "True" "True" "Entire home/apt" 4 1 1 109
14757957 "False" "True" "Entire home/apt" 3 1 1 95
14872179 "True" "True" "Entire home/apt" 2 1 1 129
15117022 "True" "False" "Entire home/apt" 3 1 0 135
15407909 "True" "True" "Entire home/apt" 12 3.5 5 750
15537773 "True" "True" "Entire home/apt" 6 1 2 99
15633363 "False" "True" "Private room" 2 1.5 1 85
15641532 "False" "True" "Private room" 2 1 1 129
